claimant_id,name,age,policy_id
CL29572,Angel Murphy,78,P57300
CL66674,Raven Lewis,70,P86725
CL24713,Justin Reilly,60,P84290
CL31404,Cindy Park,52,P39376
CL82862,Jacqueline Gibbs,19,P92772
CL64450,Michael Mckinney,80,P27724
CL29433,Sara Spencer,70,P39386
CL41601,Justin Hamilton,33,P59181
CL60361,Yvette Lopez,27,P88292
CL16310,Jenny Willis,70,P28296
CL07579,Christina Jones,76,P41966
CL85825,Kurt Thomas DVM,45,P18042
CL49705,Pamela Schmidt,78,P65714
CL02835,George Ingram,30,P78641
CL68714,David Wilson,68,P48909
CL33445,Susan Robertson,78,P27339
CL07132,Ryan Sullivan,57,P25282
CL08972,John Smith,80,P33710
CL02401,Mikayla Taylor,61,P47197
CL28171,Kenneth Ray,31,P46154
CL73752,Elizabeth Morgan,75,P17579
CL38864,Robert Fisher,75,P91963
CL95429,Derrick Wheeler,42,P48855
CL39051,Douglas Ortega,20,P30966
CL39018,Laura Gonzalez,21,P63440
CL29771,Brooke White,71,P12185
CL31994,Tammy Johnson,80,P64269
CL38636,Justin Molina,23,P47015
CL14508,Donald Drake,24,P63242
CL79059,Ernest Campbell,74,P11523
CL15842,Bob Frey,76,P85733
CL24840,Alexa Adkins,23,P68078
CL23081,Heather Harris,65,P30634
CL73447,Lisa Flores,35,P70410
CL91799,Jaclyn Vega,40,P87277
CL25885,Margaret Hayden,53,P10158
CL84000,Daniel Miranda,68,P22309
CL38647,Mary Erickson,29,P10515
CL65821,Joshua Johnston,53,P75497
CL63997,Adriana Powers,65,P26644
CL61947,Timothy Martin,19,P14247
CL36828,Jason Velez,59,P70078
CL52610,Robert Rodriguez,21,P59357
CL20693,Thomas Santos,68,P63247
CL68345,Brian Reid,67,P29932
CL06259,Kristen Ware,65,P98998
CL38852,Francis Carney,54,P46430
CL17011,Anthony Huerta MD,45,P52167
CL36878,Lori Myers,48,P97925
CL99387,Jason Bell,23,P81439
CL95401,John Sanchez,41,P12453
CL38700,Brianna Winters,64,P49176
CL15760,Lisa Wilson,55,P23081
CL72512,Peter Beck,57,P19367
CL39849,Miss Catherine Larson,60,P21500
CL65487,Michelle Carter,21,P88374
CL90994,Katie Campbell,64,P58632
CL42268,Michael Scott Jr.,34,P85976
CL74276,Anna Austin,48,P64399
CL13599,Steven Ward,54,P97423
CL21654,Ashley Lawrence,58,P25096
CL63939,Nicole Erickson,49,P29286
CL08246,James Conrad,39,P83981
CL73230,Sandra Dunn,23,P16321
CL10578,Angelica Martin,52,P89303
CL42805,Clarence Lawrence,48,P68484
CL52461,Christopher Patel,76,P84858
CL24908,Valerie Harmon,59,P71577
CL92191,Christopher Turner,61,P61518
CL48706,Ralph Howard,18,P81149
CL12771,Kristopher Hernandez,44,P81207
CL03737,Rodney Smith,67,P83355
CL26508,David Bell,35,P78436
CL53721,Leslie Waters,48,P82605
CL72236,Michelle Randall,62,P70020
CL24145,Deborah Scott,76,P62556
CL89986,Stephen Moore,54,P58616
CL12851,Rebecca Taylor,33,P21505
CL56731,Gary Davis,39,P89612
CL07206,Jonathan Foster,31,P99938
CL84752,Cory Crosby,69,P52628
CL03102,Lynn Johnson,49,P79549
CL29653,Matthew Glover,25,P28325
CL83989,Edward Walsh,68,P25062
CL11917,Lisa Young,58,P85248
CL68217,Dana Stevens,54,P35816
CL87472,Regina Hall,63,P85701
CL84764,Jessica Suarez,45,P67047
CL85808,Erin Bentley,73,P43431
CL51682,Paula Moreno,28,P28709
CL46806,Jeffrey Garcia,60,P58233
CL21615,Gerald Mills,70,P48153
CL72505,William Robinson,21,P43404
CL02569,Christie Walker,29,P23546
CL18001,Susan Mayo,55,P28281
CL77811,John Barton,51,P55145
CL04852,Julie Garcia,18,P24221
CL38124,Karen Castillo,54,P83125
CL60447,David Franco,78,P14026
CL51336,Denise Hurst,73,P81903
CL89001,Laura Smith,78,P77197
CL84283,Jeffrey Cross,24,P92648
CL57978,Susan Baldwin,72,P73001
CL39450,Sara Wilson,25,P65531
CL95604,Gary Lutz,62,P25950
CL44170,Kelly Davidson,21,P96738
CL77041,Marvin Ware,69,P62831
CL99676,Robert Brooks,55,P79984
CL99667,Cynthia Medina,40,P78882
CL67314,Todd Mueller,44,P60967
CL79774,Doris Carroll,36,P70121
CL95779,Mary Andrade,22,P91949
CL24746,Deborah Ponce,41,P31835
CL80897,Angela Lawson,26,P39197
CL49975,Samuel Jennings,75,P90394
CL63117,Mark Jackson,77,P30413
CL19044,Amy Brown,72,P69974
CL56726,Theresa Rivas,64,P61357
CL89831,Ethan Rivera,53,P71003
CL99372,Daniel Carter,22,P38996
CL26274,Heather Buckley,61,P40353
CL63115,Dawn Turner,36,P58159
CL49318,Paul Garcia MD,20,P95527
CL68730,Frank Butler,58,P67496
CL17085,Misty Morgan,24,P95873
CL37772,Jennifer Gonzalez,73,P40273
CL46880,Carol Hall,32,P59151
CL98538,Jeffery Marshall,78,P51234
CL59940,Kenneth Mcbride,45,P68127
CL42221,Devin Bennett,38,P93105
CL14083,Frank May,68,P73684
CL91419,Robin Johnson,40,P40478
CL09727,Joan Nunez,45,P79555
CL02266,Jane Jones,80,P40081
CL33603,Angela Burgess,27,P68008
CL56513,Jennifer Harrell,58,P58743
CL07403,Emma Moore,28,P97519
CL75737,Olivia Holmes,36,P25246
CL67088,Carmen Williams,28,P79945
CL99784,Sean Phillips,70,P21921
CL08379,Kenneth Finley,47,P29106
CL57900,Blake Chase,35,P47891
CL53978,Brent Cabrera,66,P43172
CL60615,Holly Marsh,43,P64836
CL67277,Kimberly Herman,75,P13937
CL98425,Lisa Miller,48,P40567
CL94383,Jennifer Thomas,50,P24692
CL40467,Natalie Moreno,48,P71200
CL62990,Ashley Morales,31,P54251
CL26995,Susan Rivera,55,P18689
CL42342,Jeremy Winters,43,P27358
CL73955,Greg Hoffman,34,P23266
CL95731,Brittany Garrett,19,P43014
CL61281,Peggy Davis,59,P81749
CL27325,Daniel Hall,32,P88372
CL86790,James Murphy,35,P41132
CL24079,Christy Gutierrez,32,P53437
CL77760,Robin Snyder,47,P32101
CL38574,Kristine Bradley,31,P46752
CL84683,Tiffany Greer,74,P77650
CL29766,Linda Morgan,54,P27320
CL84357,Erica Lowery,56,P81194
CL88583,Andrew Cook,19,P13040
CL77240,Daniel Combs,24,P42507
CL49229,Scott Ortega,53,P94464
CL43122,Stacey Sawyer,79,P78241
CL11035,Katie Roberts,48,P24457
CL33932,David Kemp,63,P46922
CL89240,Jennifer Watkins,51,P67602
CL22655,Margaret Garcia,60,P22916
CL80271,Joseph Boyer,50,P62083
CL60197,Brenda Lopez,74,P98985
CL90390,Jennifer Ortiz,66,P85065
CL60297,Dave Brown,26,P30698
CL58620,Emily Rivera,45,P42159
CL02082,Carol Davidson,36,P81698
CL61564,Kara Little,64,P89002
CL25647,Cynthia White,34,P56800
CL23979,Lisa Frost,35,P85318
CL83376,Heather Young,21,P60020
CL83909,Timothy Avery,46,P88102
CL02025,Joseph Kim,72,P81236
CL49752,Linda Hernandez DVM,56,P77581
CL50573,Andrew Nguyen,78,P95849
CL42733,Brenda Scott,59,P60037
CL48151,Dr. Isabella Smith,25,P89387
CL68432,Jason Woods,23,P75443
CL44105,Christopher Johnson,67,P80203
CL23109,Chelsea Jimenez,46,P64623
CL35457,Donald Peterson,64,P68002
CL61549,Annette Cunningham,65,P70430
CL57836,Ariana Solis,27,P63835
CL28930,Amy Diaz,18,P78750
CL55479,Nathan Brown,24,P59463
CL55862,Heather Palmer,30,P29246
CL53995,Yolanda Le,27,P81187
CL47952,Kayla Hall,49,P13045
CL06396,Jonathon Booth,76,P92113
CL68638,Margaret Melton,67,P63717
CL84551,Kelsey Singleton,24,P81298
CL32969,Teresa Smith,63,P22081
CL77450,Christopher Poole,65,P74896
CL61867,Bradley Rodriguez,66,P13547
CL22038,Devin David,55,P55698
CL78540,Shawn Gomez,28,P98706
CL53926,Kelsey Sanders,31,P62687
CL94327,Erica Morales,36,P38006
CL13123,Andrew Hernandez,49,P94808
CL18654,Andrew Blair,40,P15123
CL97191,Eric Case,64,P56008
CL36246,Sylvia Harvey,63,P52450
CL36209,Kristen Sullivan,51,P11562
CL19390,Veronica Casey,40,P81128
CL41325,Jessica Smith,18,P39240
CL77057,Julie Reed,65,P72710
CL16036,Timothy Ibarra,28,P88924
CL46486,Nathan Woods,50,P91716
CL04515,Kerri Martinez,40,P45015
CL46481,Kathleen Hall,64,P76501
CL02699,Brittany Dominguez,73,P60011
CL34538,Keith Rios,33,P55252
CL65524,Kathryn Taylor,72,P35822
CL40909,David Farrell,59,P41817
CL51943,Laura Mullen,20,P24582
CL49259,Keith Stanley,70,P48369
CL27792,Sierra Noble,28,P23752
CL07090,Brenda Tucker,31,P37380
CL60934,Lisa Cummings,44,P74247
CL27980,Steven Trevino,31,P21506
CL11169,Dana Raymond,61,P41667
CL45601,Hector Martin,26,P85503
CL81294,Brian Hanna,64,P64863
CL20958,Nicholas Williams,59,P53306
CL14665,Kim Ross,23,P83937
CL30937,Maureen Martinez,19,P71363
CL78101,Jeffrey Kim,57,P74429
CL45963,Paul Ruiz,30,P98652
CL53623,Tara Hernandez,34,P13085
CL36401,Alyssa Alexander,69,P83252
CL89912,Tony Horton,58,P16782
CL19403,Paul Bryant,41,P60841
CL34164,Howard Powers,50,P85448
CL24817,Matthew Clark,68,P59593
CL16431,Tyler Shepherd,46,P20043
CL40709,Kyle Williams,18,P82846
CL94089,Danielle Leonard,56,P46255
CL39474,Jason Hines,69,P69121
CL93119,Jennifer Pittman,50,P45875
CL15329,Christopher Anderson,76,P39910
CL78240,Kristin Roy,68,P38133
CL75611,Lawrence Hanson,32,P67131
CL63197,Chelsea Graham,72,P51679
CL18758,Michelle Cooper,64,P55760
CL32746,Anthony Hernandez,46,P71843
CL29841,Michelle Soto,38,P51867
CL28734,Dale Novak,30,P26585
CL21444,Tyrone Kennedy,44,P11389
CL08105,Haley Davis,48,P60435
CL91874,Robert Hunter,71,P17573
CL42120,Mark Diaz,33,P61229
CL90429,Julie Perez,77,P81586
CL25730,Ana Kim,55,P45205
CL97473,Jeffery Ball,38,P57652
CL20319,Teresa Mann,18,P86437
CL73135,Russell Fleming,44,P16137
CL64710,Mitchell Jones,69,P60245
CL82676,William Sherman,76,P40725
CL97523,Kristen Taylor,45,P76499
CL95245,Stephanie Mcdaniel,63,P38903
CL06915,Mia Soto,69,P94111
CL45247,Austin Dunlap,49,P17008
CL41599,Rachel Holt,21,P19919
CL78391,Pamela Wright,51,P88310
CL19687,Henry Johnson,74,P68866
CL33395,Margaret Phillips,41,P70193
CL89361,Pamela White,79,P90801
CL93778,Jordan Garcia,53,P96497
CL56087,Shane Thompson,46,P86073
CL08175,Steven Giles,26,P12843
CL91927,Jake Bullock,48,P20545
CL61275,Mark Davis,44,P96332
CL42045,Alejandra Pierce,46,P33287
CL03047,Kathryn Dickerson,55,P97800
CL43783,Amanda Bailey,69,P35276
CL30490,James Steele,69,P72990
CL74403,Kylie Gonzales,25,P38639
CL55166,Dawn Ballard,56,P75557
CL46831,Karl Nguyen,53,P18716
CL81863,Andrew Ramirez,36,P82456
CL22367,Alicia Hale,59,P41766
CL11410,Ashley Holt,31,P91689
CL70524,Ronald Ruiz,48,P80994
CL02410,Karen Maldonado,77,P67705
CL76645,Melissa Warren,77,P54935
CL44174,James Foster,36,P66993
CL22062,Philip Smith,62,P40229
CL67196,Debra Montgomery,23,P59082
CL47643,Brenda Clark,69,P86362
CL42226,Nathaniel Brown,41,P88209
CL33387,Pamela Kaiser,69,P24057
CL67657,Bill May,69,P40130
CL33218,Catherine Bryan,33,P18695
CL23929,Christine Barnes,52,P78563
CL80178,Kelly Ellis,61,P28411
CL71083,Susan Russell,49,P37455
CL32169,Michelle Tucker,52,P26912
CL70667,Luis Simon,53,P82879
CL28942,Luis Phillips,27,P19834
CL91783,James Rangel,59,P21892
CL52259,Brenda Hoffman,23,P67400
CL99048,Anthony Moyer,59,P91851
CL96533,John Pugh,29,P64219
CL18154,Emma Johnson,18,P25306
CL96475,Mary Turner,59,P50802
CL83933,Jessica Carlson,68,P94462
CL30158,Jeremy Weeks,77,P14164
CL46563,Joseph Hernandez,39,P20920
CL39791,Lisa Wells,57,P33499
CL48786,Bobby Perez,70,P94058
CL30449,Ronald White,73,P14539
CL27319,Taylor Perez,53,P16844
CL08459,Angel Gill,61,P50927
CL70570,Jack Miles,18,P85440
CL62636,Mia Whitaker,75,P54161
CL53148,Jim Thompson,52,P35755
CL80524,Dawn Wood,40,P27202
CL61477,Dawn Stuart,40,P41364
CL05389,Claudia Harding,78,P24168
CL60522,Michelle Simmons,62,P23576
CL98973,Kristopher Paul,46,P34047
CL13741,Christopher Williams,35,P21110
CL46166,Christopher Watkins,23,P66890
CL31258,Megan Blanchard,54,P86419
CL40651,Sean Williams,62,P98102
CL06884,Holly Mcclure,39,P45932
CL54718,Anthony Bush,38,P78207
CL59667,Ms. Dana Moreno DDS,56,P64572
CL12531,Brandi Johnson,50,P72555
CL23708,Mr. Chad Saunders,26,P42555
CL24830,David Lucero,72,P52337
CL24125,Joseph Walker,68,P76120
CL48861,Katherine Mckay,70,P73814
CL21609,Juan Bryant,35,P36264
CL50230,Kevin Johnson,72,P67708
CL11267,Kenneth Miller,39,P37931
CL55577,Kathleen Smith,27,P13111
CL16322,Tony Bailey,68,P57424
CL56853,Dawn Bailey,54,P79688
CL46247,Melissa Knight,46,P52758
CL14128,Eric Soto,54,P22921
CL11348,Lori Sanchez,74,P85989
CL14494,Bridget Hart,46,P43103
CL96679,Richard Reese,69,P13833
CL33154,David Ramos,59,P23747
CL13188,Martin Cardenas,80,P53524
CL14793,Janet Malone,50,P83032
CL93544,Jesse Salinas,78,P66294
CL53800,Michele Hunter,51,P52363
CL18316,Steven Meadows,43,P27140
CL15787,Jacob Hobbs,60,P38113
CL31222,Mrs. Debra Thompson,44,P98100
CL39336,Gabrielle Huang DDS,50,P53885
CL18241,Richard Lopez,27,P36752
CL88429,James Levine,49,P27357
CL01300,Tamara Griffin,45,P63650
CL02287,John Bailey,59,P47856
CL64914,Joseph Dominguez,54,P33260
CL74802,Monica Williams,21,P50978
CL23126,Dawn Garcia,59,P56954
CL84258,Colleen Mitchell,46,P73594
CL06623,Mark Gonzalez,48,P77011
CL77315,Cheryl Mathews,57,P98524
CL82080,Mark Manning,70,P32497
CL99484,Kathryn Casey,31,P28254
CL73594,Karen Carrillo,22,P15443
CL28742,Daniel Boyd,72,P40109
CL03035,Tracy Collins,49,P89180
CL23108,Donald Jenkins,79,P95472
CL38940,Pamela Hodge,56,P36935
CL24665,Rebecca Hines,29,P55151
CL98160,Joseph Richardson,57,P69562
CL82494,Christopher Ibarra,53,P42602
CL43696,Nathan Coleman,59,P28894
CL02134,Jennifer Larson,74,P79350
CL15720,Michael Stewart,38,P23012
CL69528,Denise Giles,78,P44425
CL25223,Antonio Higgins,28,P26601
CL68947,Joseph Brown,58,P82632
CL91441,Carol Parker,60,P21064
CL20293,Michael Roberts,20,P42264
CL90372,Katherine Davis,59,P52490
CL99225,Madison Williamson,71,P19524
CL77979,Austin Bentley,61,P15121
CL48897,Colton Strickland,47,P31421
CL34730,Diane Perry,44,P89402
CL94363,Ronnie Moore,64,P54944
CL47047,Dr. Jennifer Chen,38,P65203
CL41533,Michael Harris,48,P87688
CL11822,Christian Woods,51,P70176
CL61776,Joseph Thomas,75,P68070
CL65976,Brittany Cooper,37,P18378
CL76551,Richard Todd,58,P93797
CL94371,Juan Neal,40,P66123
CL38450,Julie Clark,32,P40418
CL20888,Erik Li,68,P92043
CL12155,Jason Jones,43,P13123
CL98749,Jenna Jones,68,P96888
CL85580,Anthony Guerrero,61,P84678
CL39756,Melissa Gentry,20,P72487
CL24533,Taylor Chapman,44,P25170
CL62825,Dr. Terry Barnes,26,P74230
CL61874,Charles Ballard,41,P87639
CL11131,Michael Kelly,25,P75900
CL08902,Ronald Rodriguez,65,P81824
CL13179,Danielle Lloyd,19,P22593
CL26361,Troy Oliver,25,P89979
CL34994,Emily Kramer,25,P94380
CL79948,Tina Daniel,56,P18606
CL34947,Edward Walton,43,P60207
CL56233,Brian York,79,P92758
CL12010,Joy Ramos,77,P13121
CL81457,James Warner,65,P24892
CL74348,Pamela Zimmerman,47,P54547
CL16776,Julia Nash,70,P23357
CL43096,Anthony Moreno,36,P85602
CL15143,Brenda Hill,57,P93455
CL95291,Peter King,42,P62552
CL22682,Samantha Long,46,P33941
CL22924,Russell Hopkins,24,P60728
CL80498,Tanya Grant,25,P66063
CL92945,Christopher Gibson,40,P29373
CL32922,Phillip Deleon,48,P93803
CL19374,Lisa Meyer,22,P33850
CL59718,Larry Rowland,26,P37694
CL64851,Daniel Brown,47,P55548
CL40296,Jeff Jennings,60,P20197
CL46950,Scott Jordan,28,P90993
CL87812,Joshua Cline,43,P23696
CL13401,Victoria Powell,36,P18584
